cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;pais;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd_1;telefone_1;ddd_2;telefone_2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;cnpj_completo;situacao_cadastral_descricao;atividade_afl;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte;ente_federativo_responsavel;porte_descricao
05345235;0001;39;1;;02;20051103;00;;;20020927;5611203;;RUA;IRACEMA;49;;TRES JOSE;12225010;SP;7099;12;39425066;12;39424165;;;basconfiscal@terra.com.br;;;05345235000139;Ativa;Lanchonetes e casas de chá;;;;;;;
03673852;0001;38;1;BISCOITOS PEREIRA;02;20031121;00;;;19870803;5611203;1091102;RUA;10;459;QUADRAD7                  LOTE  62E;SETOR OESTE;74120020;GO;9373;62;32151329;;;;;;;;03673852000138;Ativa;Lanchonetes e casas de chá;BISCOITOS PEREIRA LTDA;2062;49;5000,00;01;;Microempresa (ME)
00375780;0001;54;1;;02;20240107;00;;;19950103;5611201;;AVENIDA;PRESIDENTE VARGAS;725;;CENTRO;79804030;MS;9073;;;;;;;;;;00375780000154;Ativa;Restaurantes;E.L. DIAS & CIA LTDA;2062;49;10000,00;01;;Microempresa (ME)
03674637;0001;51;1;BAR AS DE OURO;02;20031018;00;;;19870617;5611203;;AVENIDA;ANTONIO CARLOS PANIAGO;53;;CENTRO;75830002;GO;9459;;;;;;;;;;03674637000151;Ativa;Lanchonetes e casas de chá;ADERVAL TEODORO MARTINS;2135;50;0,00;01;;Microempresa (ME)
97071112;0001;75;1;;02;20050806;00;;;19931209;5611204;4712100,9329803;RUA;CLAUDIO RECKZIEGEL;2092;;GRESSLER;95800000;RS;8955;51;37415168;;;;;PIFER.PIX@GMAIL.COM;;;97071112000175;Ativa;Bares sem entretenimento;;;;;;;
03676100;0001;20;1;1007 BOITE CHIK;02;20000210;00;;;20000210;5611204;5611201,9609299,9329801;ALAMEDA;ADOLFO KONDER,;1007;SUBSOLO;CENTRO;88010140;SC;8105;;;;;;;;;;03676100000120;Ativa;Bares sem entretenimento;BAR E RESTAURANTE 1007 LTDA;2062;49;80000,00;01;;Microempresa (ME)
00377805;0001;59;1;;02;20051103;00;;;19950103;4721102;;AVENIDA;CENTRAL;1371;;CENTRO;15570000;SP;6315;;;;;;;;;;00377805000159;Ativa;Padaria e confeitaria;CHRISTIANY BARBETA;2135;50;0,00;01;;Microempresa (ME)
97074546;0001;29;1;ASSADOS BOM GOSTO;02;20190226;00;;;19931220;5611203;5620101,5620104,4721104,4723700;RUA;NESTOR DE MOURA JARDIM;1535;;COLINA;92500000;RS;8685;51;96788609;;;;;ASSADOSBOMGOSTOGB@GMAIL.COM;;;97074546000129;Ativa;Lanchonetes e casas de chá;;;;;;;
01996947;0001;67;1;MAIS RESTAURANTE E CONVENIENCIA;02;20051103;00;;;19970610;5611201;4729699;RUA;JUSCELINO K DE OLIVEIRA;65;;VILA NOVA;38690000;MG;4523;38;98188861;;;38;36763952;CONTAB.FORMOSO@GMAIL.COM;;;01996947000167;Ativa;Restaurantes;IRENE PEREIRA DA SILVA;2135;50;30000,00;01;;Microempresa (ME)
97080709;0001;86;1;BAR E LANCHERIA V ANDRADE;02;20051103;00;;;19931228;5611203;;RUA;OSORIO PEDRO ILGENFRITZ;340;SOBRADO TERREO;ASSIS BRASIL;98700000;RS;8705;;;;;;;;;;97080709000186;Ativa;Lanchonetes e casas de chá;;;;;;;
00378520;0001;32;1;;02;20001223;00;;;19941229;5611204;;RUA;BRASILIA;415;SALA 01;BELLO;89509027;SC;8057;49;98318121;;;;;ghpcontabilidade@yahoo.com.br;;;00378520000132;Ativa;Bares sem entretenimento;JANDIR FRIGERI BRASILIA;2135;50;3000,00;01;;Microempresa (ME)
01997350;0001;37;1;PIZZARIA DELIRIOS;02;20030802;00;;;19970722;5611203;;AVENIDA;FRANCISCO GARCEZ;105;CASA;CENTRO;49400000;SE;3169;79;36313323;;;;;;;;01997350000137;Ativa;Lanchonetes e casas de chá;JOSE DOMINGOS DE MOURA;2135;50;50000,00;01;;Microempresa (ME)
00378955;0001;87;1;GOTISSO ALIMENTOS;02;20001223;00;;;19950102;5611201;;AVENIDA;WASHINGTON LUIS;565;LOJA  01;BOQUEIRAO;11055001;SP;7071;13;32322020;;;;;CONTATO@PORTALCONTABILIDADE.COM.BR;;;00378955000187;Ativa;Restaurantes;GOTISSO ALIMENTOS LTDA;2062;49;95400,00;03;;Empresa de Pequeno Porte (EPP)
05349035;0001;54;1;;02;20050924;00;;;20021024;5611201;4712100,4729602,5611204,9329801;RUA;LAVAPES;770;;LAVAPES;37660000;MG;4945;35;36511402;;;;;ESTANCIAMINEIRA@HOTMAIL.COM;;;05349035000154;Ativa;Restaurantes;;;;;;;
97089874;0001;07;1;;02;20050507;00;;;19940103;5611201;;RUA;CORONEL SERRANO;283;;CENTRO;95400000;RS;8867;51;92884426;;;;;ASSESCON@ASSESCON.COM;;;97089874000107;Ativa;Restaurantes;;;;;;;
00379896;0001;61;1;SORVETERIA CRISTAL;02;20051103;00;;;19950102;5611203;;AVENIDA;TAMOIOS;1587;;CENTRO;17600005;SP;7201;014;4417001;;;014;4427001;;;;00379896000161;Ativa;Lanchonetes e casas de chá;FURLAN & FURLAN DE TUPA LTDA;2062;49;10000,00;01;;Microempresa (ME)
05350188;0001;11;1;PAO DE QUEIJO MINEIRO;02;20050806;00;;;20020930;4721102;5611203;AVENIDA;FLORIANO PEIXOTO;634;LOJA  A;CENTRO;38400102;MG;5403;34;32162179;;;34;32350195;HABILIDADECONTABIL@YAHOO.COM.BR;;;05350188000111;Ativa;Padaria e confeitaria;;;;;;;
01998841;0001;00;1;BAR DOS ESTUDANTES;02;20051103;00;;;19970617;5611203;;RUA;FRANCISCO ALVES COUTO;16;;CENTRO;29795000;ES;5733;027;7451145;;;;;;;;01998841000100;Ativa;Lanchonetes e casas de chá;ADAO VIDAL FILHO;2135;50;0,00;01;;Microempresa (ME)
05351363;0001;95;1;BAR DA ZU;02;20050709;00;;;20020913;5611205;4712100,5611201,9329801;RUA;BENJAMIM CONSTANT;49;;CENTRO;69400230;AM;0253;92;92170336;;;;;CAROL_SILVERA14@HOTMAIL.COM;;;05351363000195;Ativa;Bares com entretenimento;;;;;;;
97110977;0001;01;1;;02;20090917;00;;;19940211;5611203;5611201;AVENIDA;TRISTAO MONTEIRO;286;      FRENTE;ZONA NOVA;95590000;RS;8935;51;36846487;;;;;;;;97110977000101;Ativa;Lanchonetes e casas de chá;;;;;;;
05351874;0001;07;1;COMERCIAL BATISTA REIS;02;20260108;00;;;20021015;5611201;0312401,0322101,4623109,4683400,4692300,4722902,5611203,5611204;FAZENDA;FAZ CACHOEIRA EST NOVA VENEZA A DAMOLANDIA A DIREITA;SN;KM    05;ZONA RURAL;75470000;GO;9497;62;91166122;;;;;MARCOSBATISTADOSREIS107@GMAIL.COM;;;05351874000107;Ativa;Restaurantes;;;;;;;
03680935;0001;54;1;;02;20061113;00;;;20000228;4721102;1092900,4712100;RUA;JOSE FERREIRA TORRES GALINDO;157;;JOSE CARLOS DE OLIVEIRA;55042260;PE;2381;81;94423916;;;;;;;;03680935000154;Ativa;Padaria e confeitaria;SERGIO FEITOSA;2135;50;0,00;05;;Demais
03681011;0001;72;1;PADARIA BRASIL;02;20051103;00;;;20000303;4721102;;AVENIDA;BRASIL;1279;;SANTO ANTONIO;39270000;MG;5023;;;;;;;;;;03681011000172;Ativa;Padaria e confeitaria;CRISTIANE DEBORA MARTINS;2135;50;0,00;01;;Microempresa (ME)
05353338;0001;40;1;BAR E RESTAURANTE KI-DELICIA;02;20050408;00;;;20021022;5611201;1091102,1096100,4729602;AVENIDA;DR JOAO CATALDO PINTO;585;;BELA VISTA;36512000;MG;5379;;;;;;;;;;05353338000140;Ativa;Restaurantes;;;;;;;
03681968;0001;19;1;CAFE MUSICAL CARIOCA DA GEMA;02;20001202;00;;;20000228;5611201;;AVENIDA;MEM DE SA;79;;CENTRO;20230150;RJ;6001;21;22210043;21;85560834;021;5324189;GERENTEPIZZARIA@BARCARIOCADAGEMA.COM.B;;;03681968000119;Ativa;Restaurantes;ANASTHI RESTAURANTE LTDA;2062;49;100000,00;03;;Empresa de Pequeno Porte (EPP)
02002052;0001;22;1;;02;20061201;00;;;19970728;5611204;5611203;RUA;JOAQUIM BENTO SOARES;65;;JARDIM ALVORADA I;86240000;PR;7895;43;99237304;;;;;SILVANACONTABIL@OUTLOOK.COM;;;02002052000122;Ativa;Bares sem entretenimento;SIRLEI FRANCA S S AMOREIRA;2135;50;2000,00;01;;Microempresa (ME)
05354305;0001;15;1;;02;20030809;00;;;20021016;5611201;;AVENIDA;GUILHERME GIORGI;1901;;VILA CARRAO;03422001;SP;7107;;;;;;;;;;05354305000115;Ativa;Restaurantes;;;;;;;
97141527;0001;78;1;RESTAURANTE E LANCHERIA MORAIS;02;20041030;00;;;19940422;5611201;;AVENIDA;PRESIDENTE VARGAS;424;;FLORESTA;93600010;RS;8649;;;;;;;;;;97141527000178;Ativa;Restaurantes;;;;;;;
02004326;0001;12;1;RECANTO DO SOL;02;20051103;00;;;19970723;5611205;5611201,5611203,5620103;AVENIDA;LUIZ GONZAGA DAS NEVES;2238;;CAMINHO NOVO;12125280;SP;7197;12;36723224;;;;;RECANTODOSOL2238@GMAIL.COM;;;02004326000112;Ativa;Bares com entretenimento;SILVA RIBEIRO BAR, RESTAURANTE E PIZZARIA  LTDA;2062;49;10000,00;01;;Microempresa (ME)
02004581;0001;65;1;MOURISCO CAFE;02;20050604;00;;;19970709;5611203;5620102;PRAIA;DE BOTAFOGO;501;      ATRIO E 1 SUBSOLO;BOTAFOGO;22250040;RJ;6001;21;25331017;21;25331252;21;25331252;;;;02004581000165;Ativa;Lanchonetes e casas de chá;COPACABANA POINT SUPER LANCHES 1 LTDA;2062;49;200000,00;01;;Microempresa (ME)
97159875;0001;72;1;VILA HIPICA;02;20051103;00;;;19940524;5611201;;;BR 116 SN KM 33;SN;;VILA HIPICA;95200000;RS;8953;;;;;;;;;;97159875000172;Ativa;Restaurantes;;;;;;;
05357863;0001;34;1;;02;20030906;00;;;20021011;5611204;;AVENIDA;SANTA CRUZ;672;;ALVORADA;18480000;SP;6557;15;5651997;;;15;5651613;esc_novelli@uol.com.br;;;05357863000134;Ativa;Bares sem entretenimento;;;;;;;
05358099;0001;11;1;RESTAURANTE VO TONINHA;02;20051103;00;;;20021010;5611201;4712100,4763601,4763602,4781400,4789001,5611203;RODOVIA;ELIO DE FARIAS MATOS;1672;ANEXO POSTO MAMPITUBA;CENTRO;95572000;RS;0996;51;94247665;48;91093653;;;RESTAURANTETONINHA19@GMAIL.COM;;;05358099000111;Ativa;Restaurantes;;;;;;;
02007005;0001;71;1;KARAOKE BAR;02;20051103;00;;;19970724;5611203;5611205,9329801;ALAMEDA;CABRAL;538;;CENTRO;80410210;PR;7535;41;99752498;;;041;2642663;TXAPELABATEL@GMAIL.COM;;;02007005000171;Ativa;Lanchonetes e casas de chá;KARAOKE BAR LTDA;2062;49;10000,00;01;;Microempresa (ME)
02007111;0001;55;1;PNEU'S BAR;02;20260710;00;;;19970715;5611203;;AVENIDA;DR.LINCOLN W.SILVEIRA;384;;VILA FORMOSA;37130001;MG;4031;;;;;;;;;;02007111000155;Ativa;Lanchonetes e casas de chá;LUIZ CARLOS DA LUZ;2135;50;0,00;01;;Microempresa (ME)
05360864;0001;38;1;PADARIA UNIAO;02;20051103;00;;;20021024;4721102;;RUA;GEN. OSVALDO PINTO DA VEIGA;377;TERREO;PROSPERA;88811700;SC;8089;;;;;;;;;;05360864000138;Ativa;Padaria e confeitaria;;;;;;;
05361460;0001;69;1;TEXGRIL;02;20051103;00;;;20021030;5611201;5620102,5620101;AVENIDA;ARARIGBOIA;427;APT   401;CENTRO;95555000;RS;8915;51;36258203;51;99838216;51;36653220;TEXGRILL@HOTMAIL.COM;;;05361460000169;Ativa;Restaurantes;;;;;;;
97206387;0001;79;1;PIZZARIA IL GATTO;02;20051103;00;;;19940308;5611201;;AVENIDA;ALMIRANTE TAMANDARE;2404;;CENTRO;97573531;RS;8845;55;32422000;;;;;;;;97206387000179;Ativa;Restaurantes;;;;;;;
03689757;0001;22;1;;02;20000313;00;;;20000313;5611203;;RUA;BOCAIUVA;2468;SOPPING BEIRA MAR;CENTRO;88015530;SC;8105;048;2472425;;;048;2472425;;;;03689757000122;Ativa;Lanchonetes e casas de chá;ALTA COMERCIO DE ALIMENTOS LTDA;2062;49;0,00;03;;Empresa de Pequeno Porte (EPP)
97208367;0001;37;1;;02;20041030;00;;;19940314;5611203;;RUA;GASPAR MARTINS;SN;;CENTRO;98280000;RS;8781;;;;;;;;;;97208367000137;Ativa;Lanchonetes e casas de chá;;;;;;;
02009726;0001;10;1;EL SHADAI RESTAURANTE;02;20051103;00;;;19970724;4721102;;RUA;MANOEL BANDEIRA;1609;;JD AMANDA;13188181;SP;2951;;;;;;;;;;02009726000110;Ativa;Padaria e confeitaria;NUNES DO RAMO & MONEGO LTDA;2062;49;0,00;05;;Demais
05364582;0001;09;1;CALCADAO DO CHURRASCO;02;20050903;00;;;20020523;5611201;;AVENIDA;AFONSO PENA;2828;A;FUNCIONARIOS;30130006;MG;4123;031;32016974;;;;;;;;05364582000109;Ativa;Restaurantes;;;;;;;
03692596;0001;26;1;MERCADO MELHOR CASA SHOW;02;20051103;00;;;20000314;5611201;;AVENIDA;CAIRU;1477;;SAO JOAO;90230031;RS;8801;51;30624040;;;;;;;;03692596000126;Ativa;Restaurantes;MERCADO MELHOR LTDA;2062;49;0,00;01;;Microempresa (ME)
05365199;0001;75;1;;02;20051103;00;;;20020927;5611201;3314710,4789004,5223100,5611203,8230001,8230002,9103100,9321200;RUA;HUET BACELAR;563;ANDAR 1;IPIRANGA;04275000;SP;7107;11;22735500;11;26034700;;;NELSON@PONTUALSP.COM.BR;;;05365199000175;Ativa;Restaurantes;;;;;;;
02012884;0001;20;1;PANIFICADORA ITANHANDU;02;20050402;00;;;19970721;4721102;4712100,5611203,4721104;AVENIDA;DR JOSE DE LOURDES SALGADO SCARPA;531;;JOAO PAULO II;37464000;MG;4661;35;33611890;;;;;CRD@ALTANET.COM.BR;;;02012884000120;Ativa;Padaria e confeitaria;SEBASTIAO JOAO DE SOUZA CPF 634 255 806 04;2135;50;15000,00;01;;Microempresa (ME)
97249767;0001;90;1;;02;20051103;00;;;19940509;5611203;;ESTRADA;RODOVIARIA MUNICIPAL;SN;SALA 3;CENTRO;97300010;RS;8869;;;;;;;;;;97249767000190;Ativa;Lanchonetes e casas de chá;;;;;;;
02013195;0001;30;1;;02;20051103;00;;;19970729;5611203;;RUA;BERNARDINO BOGO;43;;CENTRO;87160000;PR;7675;;;;;;;;;;02013195000130;Ativa;Lanchonetes e casas de chá;ROSANGELA MARIA ROMAN CABRAL - LANCHES;2135;50;0,00;01;;Microempresa (ME)
97255293;0001;90;1;PIT STOP CONTAINER LANCHES;02;20051103;00;;;19940412;5611201;4729699,5611203;AVENIDA;DR.WALDOMIRO GRAEFF;1047;;CENTRO;99470000;RS;8755;54;33321949;;;;;EN22AB34@BRTURBO.COM.BR;;;97255293000190;Ativa;Restaurantes;;;;;;;
03695896;0001;69;1;FRANGO & GRILL;02;20051103;00;;;20000229;5611201;;AVENIDA;DOUTOR JESUINO MARCONDES MACHADO;2076;;CHACARA DA BARRA;13090723;SP;6291;19;32948872;;;;;MONICA_RFAG@HOTMAIL.COM;;;03695896000169;Ativa;Restaurantes;A V BURGER RESTAURANTE;2135;50;0,00;01;;Microempresa (ME)
97266167;0001;30;1;;02;20051103;00;;;19940629;5611203;4712100;RUA;MIGUEL ROCHA SAMPAIO;545;;LUTZ;98300000;RS;8777;55;96805684;;;;;DANIELPETISCOS@GMAIL.COM;;;97266167000130;Ativa;Lanchonetes e casas de chá;;;;;;;
02014649;0001;97;1;;02;20030111;00;;;19970725;5611204;5611203,4712100,9329803;RUA;VINTE E NOVE DE JUNHO;422;;JD DAS CEREJEIRAS;12225520;SP;7099;012;3426622;;;;;;;;02014649000197;Ativa;Bares sem entretenimento;WASHINGTON LUIS F. DAVID S. J. CAMPOS;2135;50;0,00;01;;Microempresa (ME)
02015269;0001;77;1;O COSTELAO;02;20051103;00;;;19970805;5611204;4712100;RUA;SILVIO CANDELLO;2198;SALA  01;JARDIM MORADA DO SOL;13348348;SP;6511;19;86087775;;;;;MARCELODEPAULACAMPOS@GMAIL.COM;;;02015269000177;Ativa;Bares sem entretenimento;M DE PAULA CAMPOS BAR LTDA;2062;49;130000,00;01;;Microempresa (ME)
05369457;0001;91;1;;02;0;00;;;20021104;5611201;;AVENIDA;BRASIL;3006;SALA 02;CENTRO;93700000;RS;8577;51;35984342;51;30381143;;;;;;05369457000191;Ativa;Restaurantes;;;;;;;
00398326;0001;19;1;;02;20051103;00;;;19950118;5611203;;RUA;EMILIO RIBAS;179;;BAIRRO CATETOS;37800000;MG;4573;;;;;;;;;;00398326000119;Ativa;Lanchonetes e casas de chá;SILVIO ANGELINI;2135;50;0,00;01;;Microempresa (ME)
02015871;0001;04;1;;02;20051103;00;;;19970723;5611203;;RUA;SALVADOR DE LIMA;7;A;TATUAPE;03070020;SP;7107;;;;;;;;;;02015871000104;Ativa;Lanchonetes e casas de chá;RAUL J.M.GONCALVES;2135;50;0,00;01;;Microempresa (ME)
05370183;0001;50;1;EMPORIO SANTO ANTONIO RESTAURANTE E POUSADA;02;20050709;00;;;20021101;5611201;;RUA;BELICA;133;;PARQUE DAS ABELHAS;36325000;MG;5375;0000;00000000;;;;;ETCC@MGCONECTA.COM.BR;;;05370183000150;Ativa;Restaurantes;;;;;;;
05370680;0001;59;1;JESUS LANCHES;02;20040508;00;;;20021031;5611203;;RUA;SILVESTRE DETONI;630;A;TRES MARIAS;36680000;MG;5257;;;;;;;;;;05370680000159;Ativa;Lanchonetes e casas de chá;;;;;;;
00400767;0001;08;1;ALPES DOCERIA;02;20050212;00;;;19950118;5611203;;AVENIDA;CEL SEZEFREDO FAGUNDES;1725;;TUCURUVI;02306000;SP;7107;11;86983851;;;;;1956MARIANEIDE@GMAIL.COM;;;00400767000108;Ativa;Lanchonetes e casas de chá;ANDES DOCERIA LTDA;2062;49;2000,00;01;;Microempresa (ME)
05373135;0001;16;1;;02;20051103;00;;;20021018;5611201;;RUA;21 DE ABRIL;90;;CENTRO;12955000;SP;6241;11;48911338;;;11;40127791;contabilalianca@bjpnet.com.br;;;05373135000116;Ativa;Restaurantes;;;;;;;
00401673;0001;53;1;BAR E MERCEARIA RENASCER;02;20051103;00;;;19950119;5611204;4712100;RUA;E;SN;;LOTEAMENTO SOL NASCENTE;19260000;SP;6705;18;39911145;18;81197006;18;39911145;eorpac@yahoo.com.br;;;00401673000153;Ativa;Bares sem entretenimento;CLOVIS DA SILVA BAR;2135;50;0,00;01;;Microempresa (ME)
02019249;0001;74;1;BAR MANDACARU;02;20051103;00;;;19970704;5611203;;AVENIDA;MANDACARU;414;;ZONA 14;87080000;PR;7691;;;;;;;;;;02019249000174;Ativa;Lanchonetes e casas de chá;CEDRALINA OLIVEIRA BATISTA;2135;50;0,00;01;;Microempresa (ME)
05373748;0001;53;1;BAR E RESTAURANTE CANTINHO DOS AMIGOS;02;20051103;00;;;20021002;5611201;;AVENIDA;FORTUNATO MOREIRA;307;;TABAU;12400400;SP;6861;;;;;;;;;;05373748000153;Ativa;Restaurantes;;;;;;;
00402007;0001;30;1;;02;20050402;00;;;19950123;5611201;;RUA;25 DE JULHO;1046;;VILA NOVA;89260160;SC;8175;;;;;;;;;;00402007000130;Ativa;Restaurantes;RESTAURANTE REITZ BURGER LTDA;2062;49;3000,00;01;;Microempresa (ME)
03701215;0001;28;1;PAO DE QUEIJO & CAFE DA CASA;02;20040508;00;;;20000225;5611203;4711302,4712100,4721104,5611201;RUA;GILBERTO SABINO;130;QUIOSQBAFFS;PINHEIROS;05425020;SP;7107;11;46992334;;;;;CAFECOMPAODEQUEIJO@HOTMAIL.COM;;;03701215000128;Ativa;Lanchonetes e casas de chá;A . G . CAFE LTDA;2062;49;50000,00;01;;Microempresa (ME)
03701337;0001;14;1;TERRACO BAR, BORRACHARIA & CIA;02;20051103;00;;;20000308;5611203;4520006;RODOVIA;CELSO GARCIA CID;S/N;KM    37 - PR-72;PERMETRO URBANO;86170000;PR;7905;43;32323492;43;32321194;43;32321750;;;;03701337000114;Ativa;Lanchonetes e casas de chá;CARLOS FERNANDO MULLER PESSOA LTDA;2062;49;0,00;01;;Microempresa (ME)
97321814;0001;60;1;AGUIAR;02;20051103;00;;;19940818;5611203;7722500,4723700;RUA;DOMINGOS VANZELLOTTI;101;;CASTELO BRANCO;96214160;RS;8815;53;91475856;;;;;;;;97321814000160;Ativa;Lanchonetes e casas de chá;;;;;;;
03702056;0001;86;1;;02;20030712;00;;;20000317;5611203;4712100;AVENIDA;BRASIL;6288;": A;";ZONA 05;87015280;PR;7691;44;32244032;;;;;MCA@WNET.COM.BR;;;03702056000186;Ativa;Lanchonetes e casas de chá;MARQUEZONE & VISNADI LTDA;2062;49;10000,00;01;;Microempresa (ME)
03702367;0001;45;1;BAMBINOS;02;20051103;00;;;20000314;5611201;5611203,5611204;TRAVESSA;MONSENHOR KOLLY;94;;CENTRO;13250304;SP;6569;11;45243335;;;;;XUXARIBEIRO74@GMAIL.COM;;;03702367000145;Ativa;Restaurantes;ELIANE RIBEIRO ITATIBA;2135;50;10000,00;01;;Microempresa (ME)
02020785;0001;90;1;RANCHO DA COSTELA;02;20001223;00;;;19970728;5611201;;AVENIDA;JOSE AUGUSTO MARTINS;286;;VALE DAS CIGARRAS;13459000;SP;7017;19;34546571;;;;;BRUNO@RANCHODACOSTELA.COM.BR;;;02020785000190;Ativa;Restaurantes;RANCHO DA COSTELA ANGOLINI LTDA;2062;49;50000,00;03;;Empresa de Pequeno Porte (EPP)
02020796;0001;70;1;SANTA PRAIA;02;20051103;00;;;19970808;5611201;9319101,8230001,5620102,9329801,9003500,9001999,9001906,7911200,7912100,7990200,8230002,9319199,9313100,8592999,7721700;AVENIDA;ZEZE DIOGO;3345;": BARRACA 02;";VICENTE PINZON;60182026;CE;1389;85;38795927;;;;;KAUE@BARRACASANTAPRAIA.COM.BR;;;02020796000170;Ativa;Restaurantes;CASA DO FAROL DIVERSOES LTDA;2062;49;150000,00;01;;Microempresa (ME)
05376585;0001;62;1;;02;20051103;00;;;20021031;5611203;4761002;RUA;ARI MEIRELES;20;QUADRAPCA F.MATARAZZO;VILA SANTA CATARINA;13466310;SP;6131;19;34073021;19;34615592;19;34615592;ESCRITORIO.JR2014@GMAIL.COM;;;05376585000162;Ativa;Lanchonetes e casas de chá;;;;;;;
02022447;0001;97;1;EMANUEL MIL COISAS;02;20051103;00;;;19970717;5611203;4713002,4763601,5611201;RODOVIA;RS 239;2772;;CAMPO DA BRAZINA;93880000;RS;0952;51;96866562;;;;;;;;02022447000197;Ativa;Lanchonetes e casas de chá;ELAINE PEREIRA DA SILVA;2135;50;0,00;01;;Microempresa (ME)
05377703;0001;57;1;;02;20040807;00;;;20021017;5611205;;RUA;VERONICA FIRAKOWSKI KRUL;SN;;VILA NOVA;89340000;SC;8159;47;97156593;;;;;MARIAGORETECARLOSALEXANDRE01@GMAIL.COM;;;05377703000157;Ativa;Bares com entretenimento;;;;;;;
97364129;0001;10;1;CATARINA;02;20050903;00;;;19940405;5611203;;RUA;SIQUEIRA CAMPOS;50;LOJA B;COPACABANA;22051002;RJ;6001;;;;;;;;;;97364129000110;Ativa;Lanchonetes e casas de chá;;;;;;;
03706556;0001;96;1;RESTAURANTE LIDER;02;20051103;00;;;20000310;5611201;4712100;AVENIDA;SILVA JARDIM;1747;;AGUA VERDE;80250200;PR;7535;;;;;;;;;;03706556000196;Ativa;Restaurantes;NELCIMARA DE FATIMA DE OLIVEIRA;2135;50;10000,00;01;;Microempresa (ME)
97369680;0001;57;1;LANCHONETE TRIUNFO;02;20250521;00;;;19940406;5611201;;AVENIDA;ANTONIO VOLPATO;676-A;;JD. EUROPA;87111010;PR;8461;;;;;;;;;;97369680000157;Ativa;Restaurantes;;;;;;;
97370365;0001;40;1;BAR E LANCHONETE DO LUIZ;02;20050408;00;;;19940102;5611203;;AVENIDA;DR. OSCAR GEYER;345;TERMINAL RODOVIARIO;CENTRO;84640000;PR;7455;;;;;;;;;;97370365000140;Ativa;Lanchonetes e casas de chá;;;;;;;
03707154;0001;06;1;;02;20051103;00;;;20000320;4721102;;AVENIDA;CRUZEIRO DO SUL;219;;ROCHDALLE;06226000;SP;6789;11;36877622;;;11;36022168;SAC@LEVPAO.COM.BR;;;03707154000106;Ativa;Padaria e confeitaria;LEVIPAO COMERCIO DE PAES SLU LTDA;2062;05;10000,00;03;;Empresa de Pequeno Porte (EPP)
02024911;0001;84;1;BAR HIPPLER;02;20010609;00;;;19970729;5611204;4712100,4784900,6619302;RUA;ANDREY MARUSIAK;245;;FLORESTA;98975000;RS;8573;;;;;;;;;;02024911000184;Ativa;Bares sem entretenimento;OLIR RENATO HIPPLER;2135;50;0,00;01;;Microempresa (ME)
02024948;0001;02;1;;02;20051103;00;;;19970715;5611204;5611203;RUA;DOUTOR FRANCISCO TIMM;42;;CENTRO;98780064;RS;8847;55;99376532;;;55;35671126;ADM01@ESCRITORIOCONTACERTA.COM.BR;;;02024948000102;Ativa;Bares sem entretenimento;OLI SCHMITZ;2135;50;0,00;01;;Microempresa (ME)
02025751;0001;98;1;;02;20051103;00;;;19970728;5611201;;RUA;CARLOS GOMES;2217;;CENTRO;14801340;SP;6163;16;33321900;16;33321909;;;escvisao@sunrise.com.br;;;02025751000198;Ativa;Restaurantes;MARTA APARECIDA VANNUCCI BUSSADORI;2135;50;0,00;01;;Microempresa (ME)
00410011;0001;40;1;;02;20051103;00;;;19950127;4721102;;RUA;M;161;;CHV JOSE CUSTODIO;32370500;MG;4371;;;;;;;;;;00410011000140;Ativa;Padaria e confeitaria;CONFEITARIA MARZIPAN LTDA;2062;49;0,00;01;;Microempresa (ME)
03709613;0001;90;1;PANIFICADORA NOVA APARECIDA;02;20051103;00;;;20000321;4721102;4712100,5611203;AVENIDA;TANCREDO NEVES;262;;NOVA REPUBLICA;68025760;PA;0535;091;5243745;;;;;;;;03709613000190;Ativa;Padaria e confeitaria;R. E. FERREIRA MODA;2135;50;0,00;01;;Microempresa (ME)
97401830;0001;62;1;PANIFICADORA BOM GOSTO;02;20031121;00;;;19940413;4721102;4721103,4721104,4723700,4729699,5611201,5611203;AVENIDA;VISCONDE DE MAUA;1307;;OFICINAS;84045000;PR;7777;;;;;;;;;;97401830000162;Ativa;Padaria e confeitaria;;;;;;;
05383647;0001;63;1;LA PREFERIDA II;02;20050924;00;;;20021104;4721102;;;QE 38 CONJUNTO L LOTE 43 LOJA;01;;GUARA II;71070120;DF;9701;61;3018807;;;;;;;;05383647000163;Ativa;Padaria e confeitaria;;;;;;;
00411197;0001;51;1;;02;20051103;00;;;19950103;5611203;;RUA;EDMILSON VAREJAO;83;LOJA A;ALTO LAGE;29151050;ES;5625;;;;;;;;;;00411197000151;Ativa;Lanchonetes e casas de chá;COMERCIAL UNILOC LTDA;2062;49;0,00;01;;Microempresa (ME)
